feature,coef
delta_norm,0.230697744543834
vol_state_code,0.19424743066974767
hour_utc,0.19412298417210888
ema50_200_spread,0.1616402348498848
trend_score_h1,0.1591734156342706
close_pos,0.13203133507380346
atr14,0.04445315328070387
minute_utc,0.02560655917580754
ema20_50_spread,0.006070720511339856
range_rel,0.004092655470720098
slope50_norm_h1,0.0007438040320476081
router_mode_code,0.0
er_h1,-0.03184466417807871
dir_state_code,-0.1087827414973143
side,-0.1087827414973143
atr_pct_pctl_h1,-0.13991965997067835
bias,-1.3429022543271525
