t,dir_state,dir_score,range_pctl,range,n_trades,hour_utc,dow_utc,date_utc,rp_bucket,low_plus,is_add,sret_4,sret_8
2026-01-04 00:00:00+00:00,BULL,0.9695811828236569,0.010416666666666666,8.0,1428,0,6,2026-01-04,"[0.00, 0.02)",True,True,-0.0013450406959627514,-0.003144265190806461
2026-01-04 05:30:00+00:00,BULL,0.6283568814535966,0.08680555555555555,25.79999999998836,2419,5,6,2026-01-04,"[0.08, 0.10)",True,True,-0.0009206943852969607,0.0012327014005282244
2026-01-05 07:30:00+00:00,BEAR,-0.4619572800949796,0.0798611111111111,34.69999999999709,3128,7,0,2026-01-05,"[0.06, 0.08)",True,True,-0.000727478697197026,0.0011587773601711149
2026-01-05 08:00:00+00:00,BEAR,-0.40651721799313373,0.006944444444444444,10.19999999999709,2504,8,0,2026-01-05,"[0.00, 0.02)",True,True,-0.0022372765692790786,0.002796595711598737
2026-01-06 02:00:00+00:00,BEAR,-0.3513865819503185,0.041666666666666664,47.59999999999127,3916,2,1,2026-01-06,"[0.04, 0.06)",True,True,0.00020168928112163087,0.0022121792580183097
2026-01-06 02:15:00+00:00,BEAR,-0.4440301043414296,0.06944444444444445,59.0,4654,2,1,2026-01-06,"[0.06, 0.08)",True,True,0.001105178857447875,0.0019156433529097239
2026-01-06 03:15:00+00:00,BEAR,-0.6367496685057973,0.11458333333333333,66.59999999999127,4923,3,1,2026-01-06,"[0.10, 0.12)",True,True,0.0008095697760617249,-0.0010602270848554252
2026-01-06 04:00:00+00:00,BEAR,-0.40233278894717167,0.04513888888888889,48.19999999999709,2781,4,1,2026-01-06,"[0.04, 0.06)",True,True,-0.002344653402302832,-0.002154057144804211
2026-01-06 08:15:00+00:00,BEAR,-0.7592004730747013,0.08680555555555555,60.60000000000582,5825,8,1,2026-01-06,"[0.08, 0.10)",True,True,0.0014824279232397153,0.0027676275472197087
2026-01-06 09:30:00+00:00,BEAR,-0.7519887812201448,0.03125,48.09999999999127,4041,9,1,2026-01-06,"[0.02, 0.04)",True,True,0.0014012498849240718,0.003620341566702212
2026-01-06 10:30:00+00:00,BEAR,-0.4349742295614366,0.07291666666666667,58.60000000000582,3333,10,1,2026-01-06,"[0.06, 0.08)",True,True,0.0022159865309068216,0.0025719554237153552
2026-01-06 10:45:00+00:00,BEAR,-0.4534716135373892,0.013888888888888888,32.40000000000873,2134,10,1,2026-01-06,"[0.00, 0.02)",True,True,0.0028181572287977463,0.003026632441095023
2026-01-06 12:15:00+00:00,BULL,0.856125762898781,0.0763888888888889,56.39999999999418,4903,12,1,2026-01-06,"[0.06, 0.08)",True,True,-0.0014803935779268418,0.004918658288072475
2026-01-06 12:30:00+00:00,BULL,0.8988615296093474,0.08333333333333333,56.60000000000582,4451,12,1,2026-01-06,"[0.08, 0.10)",True,True,-0.0013893020543118695,0.0028372469428423752
2026-01-06 12:45:00+00:00,BULL,0.9341854065393953,0.04861111111111111,44.70000000001164,3929,12,1,2026-01-06,"[0.04, 0.06)",True,True,-0.0015060850954066174,-0.00024728361085235573
2026-01-06 13:45:00+00:00,BULL,0.8540656800393409,0.041666666666666664,43.40000000000873,3495,13,1,2026-01-06,"[0.04, 0.06)",True,True,0.0012607002063447226,-0.0007461722643820057
2026-01-07 00:15:00+00:00,BULL,0.8952724044631613,0.0798611111111111,49.69999999999709,5612,0,2,2026-01-07,"[0.06, 0.08)",True,True,-0.00859745623312902,-0.0071604390564337095
2026-01-07 03:15:00+00:00,BEAR,-0.44065237325239887,0.05555555555555555,45.5,4284,3,2,2026-01-07,"[0.04, 0.06)",True,True,-0.0024084203279710614,-0.0029634649412954017
2026-01-07 04:30:00+00:00,BEAR,-0.6128209958582369,0.034722222222222224,42.19999999999709,3139,4,2,2026-01-07,"[0.02, 0.04)",True,True,-0.00022752735989550743,-0.001056762145486001
2026-01-07 05:00:00+00:00,BEAR,-0.44582281662775086,0.03125,43.89999999999418,2805,5,2,2026-01-07,"[0.02, 0.04)",True,True,-0.0007528829051357544,0.0001520866613524685
2026-01-07 13:00:00+00:00,BEAR,-0.8688326890016034,0.0798611111111111,49.0,4525,13,2,2026-01-07,"[0.06, 0.08)",True,True,-0.0021261748122859414,-0.002569263982076131
2026-01-07 21:30:00+00:00,BEAR,-0.51825474936632,0.003472222222222222,13.30000000000291,1436,21,2,2026-01-07,"[0.00, 0.02)",True,True,-0.0007476680661196999,0.0011725543239586855
2026-01-07 22:30:00+00:00,BEAR,-0.4542845058812598,0.0798611111111111,48.90000000000873,2781,22,2,2026-01-07,"[0.06, 0.08)",True,True,0.001921659153261368,0.002109540065329929
2026-01-08 06:00:00+00:00,BEAR,-0.6223218115772918,0.03819444444444445,39.10000000000582,3496,6,3,2026-01-08,"[0.02, 0.04)",True,True,-0.005337500193387634,0.0010763406187079827
2026-01-08 08:45:00+00:00,BEAR,-0.6132124984006172,0.0625,51.29999999998836,5586,8,3,2026-01-08,"[0.06, 0.08)",True,True,-0.0024456762749446304,0.0018492239467848837
2026-01-08 12:00:00+00:00,BEAR,-0.36755933387234574,0.0763888888888889,55.20000000001164,4151,12,3,2026-01-08,"[0.06, 0.08)",True,True,0.0009994145967950896,-0.0003038309408965878
2026-01-08 13:00:00+00:00,BEAR,-0.5481507790963622,0.04861111111111111,52.09999999999127,3549,13,3,2026-01-08,"[0.04, 0.06)",True,True,-0.0013019443554985743,0.003650113850642178
2026-01-08 13:15:00+00:00,BEAR,-0.5445039488516098,0.06944444444444445,56.59999999999127,3777,13,3,2026-01-08,"[0.06, 0.08)",True,True,-0.004861275393416964,0.005586523927093134
2026-01-08 13:30:00+00:00,BEAR,-0.4343024307264259,0.0798611111111111,57.69999999999709,5899,13,3,2026-01-08,"[0.06, 0.08)",True,True,-0.0066740303987306016,0.004763830889003895
2026-01-09 00:15:00+00:00,BULL,0.4282168006511077,0.013888888888888888,37.70000000001164,3574,0,4,2026-01-09,"[0.00, 0.02)",True,True,0.004707560000791089,0.0025147269175753717
2026-01-09 00:45:00+00:00,BULL,0.555129551661112,0.09375,58.19999999999709,4882,0,4,2026-01-09,"[0.08, 0.10)",True,True,-0.002543614606769995,-0.002724440289715635
2026-01-09 10:45:00+00:00,BEAR,-0.8530604357497426,0.03125,34.60000000000582,2811,10,4,2026-01-09,"[0.02, 0.04)",True,True,-0.0005030759500949111,-0.0004289966343666851
2026-01-09 11:45:00+00:00,BEAR,-0.7164177508125117,0.04861111111111111,37.0,2942,11,4,2026-01-09,"[0.04, 0.06)",True,True,7.411660200817849e-05,0.0017898606276014473
2026-01-09 12:00:00+00:00,BEAR,-0.655644308289981,0.11805555555555555,52.90000000000873,5486,12,4,2026-01-09,"[0.10, 0.12)",True,True,0.0024610726691460805,-0.0006982629740248658
