entry_t,entry_px,regime,sl_px,tp_px,exit_t,exit_px,outcome,r_mult,mae,mfe,hour_utc
2026-01-05 07:15:00+00:00,92528.5,RANGE,93103.48716738548,91896.01411587597,2026-01-05 10:45:00+00:00,93103.48716738548,SL,-0.9999999999999927,592.1999999999971,236.5,7
2026-01-06 08:30:00+00:00,93211.0,RANGE,93814.51415737478,92547.13442688774,2026-01-06 11:45:00+00:00,93814.51415737478,SL,-1.0000000000000002,654.5,80.60000000000582,8
2026-01-06 20:00:00+00:00,92395.0,RANGE,93175.27768482178,91536.69454669605,2026-01-06 21:15:00+00:00,93175.27768482178,SL,-0.9999999999999925,1430.0,57.0,20
2026-01-07 10:00:00+00:00,91790.0,RANGE,92473.59148740539,91038.04936385408,2026-01-07 14:00:00+00:00,91659.8,TIME,0.19046463040986633,459.3000000000029,237.8000000000029,10
2026-01-07 15:15:00+00:00,91238.1,RANGE,91904.24732493011,90505.3379425769,2026-01-07 19:15:00+00:00,90872.7,TIME,0.5485273096883617,511.8999999999942,604.0,15
2026-01-07 20:00:00+00:00,90962.2,RANGE,91697.49820444098,90153.3719751149,2026-01-08 00:00:00+00:00,91188.8,TIME,-0.3081742871550692,561.9000000000087,221.6999999999971,20
2026-01-08 04:30:00+00:00,91016.9,RANGE,91695.78026005323,90270.13171394145,2026-01-08 06:15:00+00:00,90270.13171394145,TP,1.0999999999999939,140.70000000001164,866.8999999999942,4
2026-01-08 06:30:00+00:00,90339.0,RANGE,91003.86267320917,89607.65105946992,2026-01-08 07:00:00+00:00,89607.65105946992,TP,1.0999999999999999,0.0,750.8999999999942,6
2026-01-08 07:15:00+00:00,90229.3,RANGE,90916.83533940851,89473.01112665064,2026-01-08 11:15:00+00:00,90177.5,TIME,0.07534158177900614,511.8999999999942,495.6999999999971,7
2026-01-08 11:45:00+00:00,90192.3,RANGE,90930.5997659529,89380.17025745181,2026-01-08 14:15:00+00:00,89380.17025745181,TP,1.1000000000000099,18.19999999999709,892.3000000000029,11
2026-01-08 15:00:00+00:00,90270.7,RANGE,90964.77652632706,89507.21582104023,2026-01-08 17:00:00+00:00,90964.77652632706,SL,-0.9999999999999905,951.3000000000029,50.5,15
2026-01-09 08:30:00+00:00,90284.7,RANGE,90897.18659596026,89610.96474444371,2026-01-09 12:30:00+00:00,90366.9,TIME,-0.13420701863870813,353.8000000000029,651.8999999999942,8
2026-01-09 12:45:00+00:00,90404.8,RANGE,91057.04890298888,89687.32620671223,2026-01-09 15:15:00+00:00,91057.04890298888,SL,-1.0000000000000016,1295.199999999997,604.8000000000029,12
